Période;Capteurs;Vitesse;Production;Accumulation
0;sensor_network;9.677;484.6936833333333;50.08937777777778
0;sensor_zone_1_1;0.0;0.0;0.0
0;sensor_zone_1_2;0.0;0.0;0.0
0;sensor_zone_1_3;0.0;0.0;0.0
0;sensor_zone_2_1;0.0;0.0;0.0
0;sensor_zone_2_2;0.0;0.0;0.0
0;sensor_zone_2_3;0.0;0.0;0.0
0;sensor_zone_3_1;0.0;0.0;0.0
0;sensor_zone_3_2;0.0;0.0;0.0
0;sensor_zone_3_3;0.0;0.0;0.0
1;sensor_network;9.474;1435.7284;151.54144444444444
1;sensor_zone_1_1;9.95;19.036083333333334;1.913188888888889
1;sensor_zone_1_2;10.021;26.815866666666665;2.6760944444444443
1;sensor_zone_1_3;9.972;21.300955555555557;2.1360444444444444
1;sensor_zone_2_1;9.248;11.355161111111112;1.2278444444444445
1;sensor_zone_2_2;0.0;0.0;0.0
1;sensor_zone_2_3;9.063;14.790677777777779;1.6320055555555557
1;sensor_zone_3_1;10.073;8.129594444444445;0.8070722222222222
1;sensor_zone_3_2;9.649;19.013955555555558;1.9705166666666665
1;sensor_zone_3_3;9.94;21.323444444444444;2.145311111111111
2;sensor_network;9.429;2294.6245944444445;243.34864444444446
2;sensor_zone_1_1;9.899;147.8275111111111;14.934
2;sensor_zone_1_2;8.828;136.42149999999998;15.4531
2;sensor_zone_1_3;10.058;149.79686111111113;14.893133333333335
2;sensor_zone_2_1;8.576;142.87625;16.65940555555556
2;sensor_zone_2_2;0.0;0.0;0.0
2;sensor_zone_2_3;8.924;82.05940555555556;9.194977777777778
2;sensor_zone_3_1;9.999;102.25805;10.226605555555555
2;sensor_zone_3_2;8.53;100.85975555555557;11.82381111111111
2;sensor_zone_3_3;9.946;92.71618333333333;9.322422222222222
3;sensor_network;9.175;3197.597061111111;348.51553333333334
3;sensor_zone_1_1;9.903;190.11575555555558;19.198249999999998
3;sensor_zone_1_2;8.367;254.84357777777777;30.458599999999997
3;sensor_zone_1_3;9.851;148.3304111111111;15.056816666666666
3;sensor_zone_2_1;8.631;254.69204444444443;29.50852222222222
3;sensor_zone_2_2;7.134;46.02587222222222;6.451944444444444
3;sensor_zone_2_3;9.207;280.8519111111111;30.505816666666664
3;sensor_zone_3_1;9.918;114.43333333333334;11.537555555555556
3;sensor_zone_3_2;8.428;187.80967222222222;22.284955555555555
3;sensor_zone_3_3;9.84;145.24916666666667;14.761194444444444
4;sensor_network;8.898;3991.3439166666667;448.54380000000003
4;sensor_zone_1_1;9.907;194.98102222222224;19.681494444444443
4;sensor_zone_1_2;7.806;234.46425000000002;30.037755555555556
4;sensor_zone_1_3;9.94;132.49557777777778;13.330177777777777
4;sensor_zone_2_1;9.128;344.02630555555555;37.68847777777778
4;sensor_zone_2_2;7.646;500.3172055555555;65.43352777777778
4;sensor_zone_2_3;8.36;295.65414444444446;35.36371666666667
4;sensor_zone_3_1;9.982;173.35332222222223;17.365894444444443
4;sensor_zone_3_2;8.632;291.5267222222222;33.77453333333334
4;sensor_zone_3_3;9.891;139.4145;14.095600000000001
5;sensor_network;8.499;4772.765866666667;561.5475111111111
5;sensor_zone_1_1;9.868;178.2449888888889;18.063766666666666
5;sensor_zone_1_2;8.462;376.1954666666666;44.457655555555554
5;sensor_zone_1_3;9.926;142.05564444444445;14.311544444444444
5;sensor_zone_2_1;8.611;363.24562777777777;42.181888888888885
5;sensor_zone_2_2;7.144;956.2141277777778;133.84061111111112
5;sensor_zone_2_3;7.846;279.36826666666667;35.60554444444444
5;sensor_zone_3_1;9.889;175.30738333333335;17.726666666666667
5;sensor_zone_3_2;8.319;343.89712777777777;41.33971666666667
5;sensor_zone_3_3;9.876;102.57995;10.38665
6;sensor_network;8.4;5508.706372222222;655.7981888888888
6;sensor_zone_1_1;9.655;235.45043888888887;24.3863
6;sensor_zone_1_2;8.058;489.61845;60.76215
6;sensor_zone_1_3;9.194;254.2083111111111;27.648783333333334
6;sensor_zone_2_1;8.422;357.46310555555556;42.44385555555556
6;sensor_zone_2_2;6.863;1027.4599944444444;149.71263333333334
6;sensor_zone_2_3;8.111;386.9456555555555;47.706244444444444
6;sensor_zone_3_1;9.371;228.96286666666666;24.433344444444447
6;sensor_zone_3_2;8.513;436.1252666666666;51.233127777777774
6;sensor_zone_3_3;9.66;178.7176111111111;18.501716666666667
7;sensor_network;8.304;7276.888677777778;876.2950611111112
7;sensor_zone_1_1;9.317;281.94390555555555;30.262355555555555
7;sensor_zone_1_2;7.792;462.3057833333333;59.329505555555556
7;sensor_zone_1_3;8.64;362.18746666666664;41.9199
7;sensor_zone_2_1;8.086;538.2910388888889;66.57046666666666
7;sensor_zone_2_2;6.8;1038.1676277777779;152.66985
7;sensor_zone_2_3;7.669;403.9702888888889;52.672494444444446
7;sensor_zone_3_1;9.019;310.6188888888889;34.43901666666667
7;sensor_zone_3_2;7.777;503.37037777777783;64.72421111111112
7;sensor_zone_3_3;9.436;372.3461222222222;39.46225
8;sensor_network;8.427;9839.507183333333;1167.6081388888888
8;sensor_zone_1_1;9.448;388.9339111111112;41.16751666666667
8;sensor_zone_1_2;8.042;500.63297222222224;62.24917222222223
8;sensor_zone_1_3;8.78;470.4273944444444;53.58063333333333
8;sensor_zone_2_1;7.733;574.5144166666666;74.29842777777777
8;sensor_zone_2_2;6.765;1084.6924666666666;160.35000555555555
8;sensor_zone_2_3;8.087;488.37955;60.389577777777774
8;sensor_zone_3_1;8.925;379.95013888888883;42.57153888888889
8;sensor_zone_3_2;7.338;507.31989444444446;69.1364
8;sensor_zone_3_3;9.492;416.1595722222222;43.842305555555555
9;sensor_network;8.379;11741.425927777776;1401.3289944444446
9;sensor_zone_1_1;9.258;628.6708611111111;67.90562222222222
9;sensor_zone_1_2;7.785;818.9600555555555;105.20221111111111
9;sensor_zone_1_3;9.004;588.6687666666667;65.37518888888889
9;sensor_zone_2_1;7.906;831.2314222222221;105.14032777777777
9;sensor_zone_2_2;6.802;1071.2929277777778;157.49022222222223
9;sensor_zone_2_3;8.085;808.1888888888889;99.96313888888889
9;sensor_zone_3_1;9.12;465.66066666666666;51.058150000000005
9;sensor_zone_3_2;8.072;799.8451222222222;99.09182222222222
9;sensor_zone_3_3;9.254;507.42040555555553;54.83519444444444
10;sensor_network;8.316;12935.631255555556;1555.5567388888887
10;sensor_zone_1_1;9.168;714.6242944444444;77.9439
10;sensor_zone_1_2;7.926;1076.1233944444446;135.77674444444443
10;sensor_zone_1_3;9.153;647.4511111111111;70.73401666666666
10;sensor_zone_2_1;7.85;1003.1817833333333;127.7986611111111
10;sensor_zone_2_2;6.815;1063.7835277777779;156.08707222222222
10;sensor_zone_2_3;7.939;968.8992666666666;122.03710555555556
10;sensor_zone_3_1;9.163;581.8268722222222;63.496805555555554
10;sensor_zone_3_2;7.792;931.0461833333333;119.48022222222221
10;sensor_zone_3_3;9.088;591.9869555555556;65.14231666666667
11;sensor_network;8.205;14249.63855;1736.6972055555555
11;sensor_zone_1_1;9.32;603.0359666666667;64.7056
11;sensor_zone_1_2;8.085;1099.2093055555556;135.95487222222224
11;sensor_zone_1_3;8.73;562.308261111111;64.40828888888889
11;sensor_zone_2_1;7.794;1158.543111111111;148.65069444444444
11;sensor_zone_2_2;6.68;1784.7290777777778;267.1696277777778
