Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_OE_4_5;T_OE_4_12;T_OE_4_19;T_OE_11_5;T_OE_11_12;T_OE_11_19;T_OE_18_5;T_OE_18_12;T_OE_18_19
T_EO_4_24;T_EO_4_17;T_EO_4_10;T_EO_11_24;T_EO_11_17;T_EO_11_10;T_EO_18_24;T_EO_18_17;T_EO_18_10
T_NS_5_4;T_NS_5_11;T_NS_5_18;T_NS_12_4;T_NS_12_11;T_NS_12_18;T_NS_19_4;T_NS_19_11;T_NS_19_18
T_SN_24_4;T_SN_24_11;T_SN_24_18;T_SN_17_4;T_SN_17_11;T_SN_17_18;T_SN_10_4;T_SN_10_11;T_SN_10_18
T_OE_5_5;T_OE_5_12;T_OE_5_19;T_OE_12_5;T_OE_12_12;T_OE_12_19;T_OE_19_5;T_OE_19_12;T_OE_19_19
T_EO_5_24;T_EO_5_17;T_EO_5_10;T_EO_12_24;T_EO_12_17;T_EO_12_10;T_EO_19_24;T_EO_19_17;T_EO_19_10
T_NS_5_5;T_NS_5_12;T_NS_5_19;T_NS_12_5;T_NS_12_12;T_NS_12_19;T_NS_19_5;T_NS_19_12;T_NS_19_19
T_SN_24_5;T_SN_24_12;T_SN_24_19;T_SN_17_5;T_SN_17_12;T_SN_17_19;T_SN_10_5;T_SN_10_12;T_SN_10_19
T_OE_6_5;T_OE_6_12;T_OE_6_19;T_OE_13_5;T_OE_13_12;T_OE_13_19;T_OE_20_5;T_OE_20_12;T_OE_20_19
T_EO_6_24;T_EO_6_17;T_EO_6_10;T_EO_13_24;T_EO_13_17;T_EO_13_10;T_EO_20_24;T_EO_20_17;T_EO_20_10
T_NS_5_6;T_NS_5_13;T_NS_5_20;T_NS_12_6;T_NS_12_13;T_NS_12_20;T_NS_19_6;T_NS_19_13;T_NS_19_20
T_SN_24_6;T_SN_24_13;T_SN_24_20;T_SN_17_6;T_SN_17_13;T_SN_17_20;T_SN_10_6;T_SN_10_13;T_SN_10_20
T_OE_7_5;T_OE_7_12;T_OE_7_19;T_OE_14_5;T_OE_14_12;T_OE_14_19;T_OE_21_5;T_OE_21_12;T_OE_21_19
T_EO_7_24;T_EO_7_17;T_EO_7_10;T_EO_14_24;T_EO_14_17;T_EO_14_10;T_EO_21_24;T_EO_21_17;T_EO_21_10
